View,Full Name,Organization,Lobby Year,Registration Date,Termination Date,Original,Amended
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10208.pdf,"Masatsugu, Jeffrey S.","Hawaii Glaziers, Architectural Metal Glassworkers Local Union 1889 AFL-CIO Stabilization Trust Fund",2015-2016,5/28/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10209.pdf,"Masatsugu, Jeffrey S.",Hawaii Tapers Market Recovery Fund,2015-2016,5/28/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1021.pdf,"Nakanelua, Dayton M.","United Public Workers, AFSCME, Local 646, AFL-CIO",2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10210.pdf,"Heberle, Thomas",Hawaii Pilots Association,2015-2016,5/26/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10211.pdf,"Masatsugu, Jeffrey S.",Painting Industry of Hawaii Labor Management Cooperation Trust Fund,2015-2016,5/28/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1022.pdf,"Natori, Nathan T.","Insurance Auto Auctions, Inc.",2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1023.pdf,"Okudara, Jon T.",Hawaii Tourism Authority,2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1024.pdf,"Okudara, Jon T.",Pacific Housing Assistance Corporation,2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1025.pdf,"Oshima, Alan M.","Hawaiian Electric Industries, Inc.",2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1026.pdf,"Pacopac, James C.",Kauai Island Utility Cooperative,2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10260.pdf,"Hum, Kim S.",The Nature Conservancy,2015-2016,6/12/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1027.pdf,"Pacopac, James C.",Syngenta Hawaii LLC,2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1028.pdf,"Perreira, Randy P.",Hawaii Government Employees Association (HGEA),2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10280.pdf,"Slovin, Gary M.","CoreCivic, Inc.",2015-2016,6/16/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10281.pdf,"Ito, Mihoko E.","CoreCivic, Inc.",2015-2016,6/16/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10282.pdf,"Tsujimura, Rick Brian","CoreCivic, Inc.",2015-2016,6/16/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10283.pdf,"Yajima, Tiffany N.","CoreCivic, Inc.",2015-2016,6/16/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10284.pdf,"Kido, C. Mike","CoreCivic, Inc.",2015-2016,6/16/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1029.pdf,"Trask Murakami, Mahie P.",Hawaii Government Employees Association (HGEA),2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1030.pdf,"Tsujimura, Rick Brian",RELX Inc.,2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1031.pdf,"Uwaine, Clifford T.","United Public Workers, AFSCME, Local 646, AFL-CIO",2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1032.pdf,"Velasquez, Tammy R.",Ernst & Young LLP,2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1033.pdf,"Wacker, Richard F.","American Savings Bank, F.S.B.",2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1034.pdf,"Woo, Lorna A.","International Union of Painters and Allied Trades, District Council 50",2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10343.pdf,"Klump, Amanda",Altria Client Services LLC and its Affiliates-Philip Morris,2015-2016,7/1/2015,12/31/2016,TRUE,TRUE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10344.pdf,"Slovin, Gary M.",Altria Client Services LLC and its Affiliates-Philip Morris,2015-2016,7/1/2015,12/31/2016,TRUE,TRUE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10345.pdf,"Morris, George A.",Altria Client Services LLC and its Affiliates-Philip Morris,2015-2016,7/1/2015,12/31/2016,TRUE,TRUE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1035.pdf,"Yoshimitsu, Walter H.",Roman Catholic Church of Hawaii,2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1044.pdf,"Chee, Albert D.K.","Chevron U.S.A., Inc.",2013-2014,1/18/2013,12/31/2014,FALSE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1045.pdf,"Clay, Murray R.",Ulupono Initiative,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1046.pdf,"Datta, Eric Kyle",Ulupono Initiative,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1047.pdf,"Dingeman, Robbie",Ulupono Initiative,2013-2014,1/17/2013,8/31/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1048.pdf,"Espinueva, Aron K.T.",Hawaii Association of Realtors,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1049.pdf,"Hamasaki, Peter J.",Hawaii Liquor Wholesalers Association,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1051.pdf,"Hennessey, Amy",Ulupono Initiative,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1052.pdf,"Hirai, Craig K.",Hawaii Association of Realtors,2013-2014,1/17/2013,12/31/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10521.pdf,"Lewis, Stephanie","ACT, Inc.",2015-2016,8/24/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1053.pdf,"Lardizabal, Alfred C.",Hawaii Laborers' Political Action Committee,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10531.pdf,"Morishige, Scott S.","PHOCUSED (Protecting Hawaii Ohana, Children, Under-Served, Elderly, and Disabled)",2015-2016,8/28/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10537.pdf,"Stephen, Jane","Allergan USA, Inc.",2015-2016,9/2/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1054.pdf,"Lee, Brandon",Ulupono Initiative,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1055.pdf,"Matanza, Adrian",Human Rights Campaign,2013-2014,1/16/2013,11/18/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1056.pdf,"Matsuura, Scott A.",County of Kauai,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10561.pdf,"Lum, Lori C.",Ulupono Initiative,2015-2016,9/9/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10562.pdf,"Finlay, Amanda Joyce",American Civil Liberties Union of Hawaii,2015-2016,9/15/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10563.pdf,"Tsujimura, Rick Brian",RELX Inc.,2015-2016,9/8/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10564.pdf,"Hannemann, Muliufi F.",Hawaii Lodging & Tourism Association,2015-2016,9/8/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1057.pdf,"Morris, George A.",Grocery Manufacturers Association,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1058.pdf,"Morris, George A.",American Chemistry Council,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1059.pdf,"Morris, George A.","CoreCivic, Inc.",2013-2014,1/16/2013,5/8/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10598.pdf,"Sandlin, James Dale",Hawaii Cattlemen's Council,2015-2016,9/22/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10599.pdf,"Namiki, Noriko",Young Women's Christian Association (YWCA) Oahu,2015-2016,9/18/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1060.pdf,"Morris, George A.","ALTRES, Inc.",2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1061.pdf,"Morris, George A.",Hawaii School Bus Association,2013-2014,1/16/2013,12/31/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10610.pdf,"Namiki, Noriko",Young Women's Christian Association (YWCA) Oahu,2015-2016,9/30/2015,12/31/2016,TRUE,TRUE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1062.pdf,"Morris, George A.",Securities Industry and Financial Markets Association,2013-2014,1/17/2013,12/31/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1064.pdf,"Morris, George A.",AT&T,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1065.pdf,"Morris, George A.",Altria Client Services LLC and its Affiliates-Philip Morris,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10650.pdf,"Choy, Paige Heckathorn",Healthcare Association of Hawaii,2015-2016,10/8/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10651.pdf,"Trombley, Kelly",The Alliance for Solar Choice,2015-2016,10/8/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1066.pdf,"Oh, Myoung S.",Hawaii Association of Realtors,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10665.pdf,"Halydier, Garrett Isaiah",Hawaii Dispensary Alliance,2015-2016,10/27/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10666.pdf,"Garth, Christopher Hardesty",Hawaii Dispensary Alliance,2015-2016,10/27/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10667.pdf,"Lilley, Antoinette Victoria",Hawaii Dispensary Alliance,2015-2016,10/27/2015,4/1/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10668.pdf,"Paulson, Lisa H.",Maui Hotel & Lodging Association,2015-2016,10/20/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10669.pdf,"Kanna, Nancy Ann",Kauai Board of Realtors,2015-2016,10/26/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1067.pdf,"Pacopac, James C.",County of Kauai,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10679.pdf,"Cazalet, Edward","NGK Insulators, Ltd.",2015-2016,10/30/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1068.pdf,"Radcliffe, John H.",American Chemistry Council,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10680.pdf,"MacMillan, David","NGK Insulators, Ltd.",2015-2016,10/30/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10681.pdf,"Fuji, Scott Y.","PHOCUSED (Protecting Hawaii Ohana, Children, Under-Served, Elderly, and Disabled)",2015-2016,10/29/2015,12/16/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10682.pdf,"Sabas, Jennifer G.","NEE Acquisition Sub I, LLC (a subsidiary of NextEra Energy, Inc.)",2015-2016,10/30/2015,11/4/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1069.pdf,"Radcliffe, John H.","CoreCivic, Inc.",2013-2014,1/16/2013,5/8/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1070.pdf,"Radcliffe, John H.",Kapolei Property Development LLC,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1071.pdf,"Radcliffe, John H.","ALTRES, Inc.",2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1072.pdf,"Radcliffe, John H.",Hawaii School Bus Association,2013-2014,1/16/2013,12/31/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1073.pdf,"Radcliffe, John H.","United Healthcare Services, Inc.",2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1074.pdf,"Radcliffe, John H.",Securities Industry and Financial Markets Association,2013-2014,1/17/2013,12/31/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1075.pdf,"Radcliffe, John H.",University of Hawaii Professional Assembly,2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1076.pdf,"Radcliffe, John H.",AT&T,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1077.pdf,"Takayama, Linda Chu",Abbott Laboratories,2013-2014,1/16/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10773.pdf,"Yajima, Tiffany N.",Consumer Technology Association,2015-2016,11/18/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10774.pdf,"Nip, Celeste Y.K.",Deloitte LLP,2015-2016,11/4/2015,2/28/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10775.pdf,"Coppa, Bruce A.",Deloitte LLP,2015-2016,11/4/2015,2/28/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10776.pdf,"Algire-Fedarcyk, Kathleen Megan",Hawaii Appleseed Center for Law and Economic Justice,2015-2016,11/9/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10777.pdf,"Emery, Richard Brown",Associa,2015-2016,11/12/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10778.pdf,"Kido, C. Mike",Consumer Technology Association,2015-2016,11/18/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10779.pdf,"Ito, Mihoko E.",Consumer Technology Association,2015-2016,11/18/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1078.pdf,"Tsujimura, Rick Brian","General Motors, LLC",2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10780.pdf,"Slovin, Gary M.",Consumer Technology Association,2015-2016,11/18/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1079.pdf,"Tsujimura, Rick Brian","T-Mobile USA, Inc.",2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1080.pdf,"Tsujimura, Rick Brian","AES Hawaii, Inc.",2013-2014,1/17/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1081.pdf,"Wagner, Anthony",Human Rights Campaign,2013-2014,1/16/2013,8/28/2013,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1082.pdf,"Nip, Celeste Y.K.",Altria Client Services LLC and its Affiliates-Philip Morris,2013-2014,1/17/2013,1/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10823.pdf,"Iosua, Michael L.",Dolphin Quest/Quest Global Management,2015-2016,1/5/2016,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10824.pdf,"Yoshimoto, Kimberley W.",Dolphin Quest/Quest Global Management,2015-2016,1/5/2016,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10825.pdf,"Arcena, Paula A.Y.",AlohaCare,2015-2016,12/18/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10826.pdf,"Cole-Brooks, Leslie Anne",Distributed Energy Resources Council of Hawaii,2015-2016,12/22/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10827.pdf,"Oshiro, Blake K.","Feld Entertainment, Inc.",2015-2016,12/30/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10829.pdf,"Iosua, Michael L.","Soleil Management Hawaii, LLC",2015-2016,1/4/2016,12/31/2016,TRUE,FALSE
