tmk,tmk_txt,island,owner,ownedby,majorowner,type,gisacres
146006022,146006022,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.35195298
116022007,116022007,Oahu,BOARD OF WATER SUPPLY,"City and County of Honolulu, Board of Water Supply",Govt. County of Honolulu,Public-County,1.07303146
189013062,189013062,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.20940473
141017021,141017021,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,8.97912763
174017001,174017001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,26.50753013
186023100,186023100,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11898643
189017049,189017049,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.21664267
186023141,186023141,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12712002
189009018,189009018,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17463236
124040029,124040029,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17240687
126003019,126003019,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.15889044
189009044,189009044,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17569291
174017003,174017003,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.01630297
141008093,141008093,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,1.81036197
117042001,117042001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,5.72886817
191120095,191120095,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12868486
146006039,146006039,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.33465553
141037043,141037043,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.14976738
185002044,185002044,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,32.7414654
124041045,124041045,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15012445
187043086,187043086,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12343153
189013036,189013036,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18219171
189016087,189016087,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1721095
185031027,185031027,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17120717
141021016,141021016,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.26109865
141037065,141037065,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15025631
135063023,135063023,Oahu,BOARD OF WATER SUPPLY,"City and County of Honolulu, Board of Water Supply",Govt. County of Honolulu,Public-County,0.4513422
189009045,189009045,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17798051
111063011,111063011,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,28.95555877
189009007,189009007,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17685992
124042011,124042011,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18267715
124040028,124040028,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17262325
124042035,124042035,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15819197
185030030,185030030,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16709563
141021004,141021004,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.24564002
136018095,136018095,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.18398781
124042043,124042043,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17519619
189015027,189015027,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1760233
141038052,141038052,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11767635
189004107,189004107,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.50429997
141016047,141016047,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.39623597
128013088,128013088,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.04628871
115041066,115041066,Oahu,S OF H DLNR,"State of Hawaii, Department of Land & Natural Resources",Govt. State,Public-State,0.41542215
189009078,189009078,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16915652
187042002,187042002,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.23701085
185030079,185030079,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15924155
125024023,125024023,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.66097962
189004116,189004116,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.25422639
154007001,154007001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.49115494
139010040,139010040,Oahu,BOARD OF WATER SUPPLY,"City and County of Honolulu, Board of Water Supply",Govt. County of Honolulu,Public-County,0.39181334
125022019,125022019,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18754775
136018098,136018098,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.16886445
198027002,198027002,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.1438317
186002003,186002003,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,12.88641699
125020003,125020003,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.34013257
186023112,186023112,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.10885186
189005093,189005093,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.23214182
124039012,124039012,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18979096
124040019,124040019,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17866322
191055103,191055103,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.80723642
185031038,185031038,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18031837
189016102,189016102,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.22975082
114018014,114018014,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,7.60453912
189017050,189017050,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.2175867
141038021,141038021,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12818638
124012002,124012002,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.31481458
194011093,194011093,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.99042942
152002033,152002033,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.22979468
139053009,139053009,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.17660454
132011025,132011025,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.02364425
141019026,141019026,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.24937237
141031058,141031058,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18455546
129057011,129057011,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.19399927
168002016,168002016,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,1.07259407
139045012,139045012,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.15036266
121017008,121017008,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.57056397
191120066,191120066,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11525929
145006001,145006001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.8929778
155010002,155010002,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.27365775
189005103,189005103,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.21006191
174004071,174004071,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.53880844
124043083,124043083,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11890357
185030024,185030024,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16657921
122041001,122041001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,8.8233056
156006032,156006032,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,10.58982723
117003014,117003014,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.03832655
185032030,185032030,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16693588
185031083,185031083,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17834118
189003050,189003050,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.31014056
196003016,196003016,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.25894913
122015037,122015037,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12635596
185027068,185027068,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.03206258
121026022,121026022,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,4.32610621
195049075,195049075,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.27071212
115041338,115041338,Oahu,S OF H DLNR,"State of Hawaii, Department of Land & Natural Resources",Govt. State,Public-State,0.78181828
185027055,185027055,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.03497805
185030047,185030047,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16826354
194008028,194008028,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,2.62528005
189013044,189013044,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.21969599
111047064,111047064,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.68188427
156004038,156004038,Oahu,UNITED STATES OF AMERICA,United States of America,Govt. Federal,Public-Federal,1.87437094
124013046,124013046,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.02421128
191010004,191010004,Oahu,U S NAVAL RESERVATION,"United States of America, Department of Defense",Govt. Federal,Public-Federal,11.26401593
121051033,121051033,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.25396782
124043062,124043062,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.19817828
146015001,146015001,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,231.2314423
145042004,145042004,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.0288884
139007011,139007011,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,3.03734721
141037020,141037020,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.19330072
185030114,185030114,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16380479
185002001,185002001,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,4.0522431
185034003,185034003,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,6.57069121
173011002,173011002,Oahu,UNITED STATES OF AMERICA,United States of America,Govt. Federal,Public-Federal,13.23125493
142003022,142003022,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,33.10675375
134002002,134002002,Oahu,DEPARTMENT OF EDUCATION,"State of Hawaii, Department of Education",Govt. State,Public-State,6.09341552
187042147,187042147,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12389475
189013031,189013031,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18719529
194049003,194049003,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.34355322
141031107,141031107,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1778123
189012012,189012012,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.20766124
124043087,124043087,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.0861117
191119061,191119061,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12588731
187043044,187043044,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11500228
141016021,141016021,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.43995341
141036032,141036032,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.19303029
194167093,194167093,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,2.97697589
187043094,187043094,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12391458
124040033,124040033,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17878589
187043068,187043068,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.22360526
189005063,189005063,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.50465104
141034110,141034110,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.12220592
124040012,124040012,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.20688482
191013041,191013041,Oahu,UNITED STATES OF AMERICA,United States of America,Govt. Federal,Public-Federal,9.26393356
141029070,141029070,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17914151
152002032,152002032,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.23124982
189012063,189012063,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.29539904
138004018,138004018,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.51727222
124043004,124043004,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11670143
124043060,124043060,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.37124994
187042031,187042031,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.14458668
111044017,111044017,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.14029323
152002045,152002045,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.27895779
185031066,185031066,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.26627325
191122004,191122004,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,3.71053237
125019006,125019006,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.62521539
143010085,143010085,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.34600525
131042039,131042039,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,4.6074072
147006018,147006018,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.0758588
186023034,186023034,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11071411
185029014,185029014,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.30896307
196003017,196003017,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.4270058
167016002,167016002,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.18250135
189005029,189005029,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.7286832
126001018,126001018,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.07912229
186003061,186003061,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,4.09053785
191126002,191126002,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.75303083
153004044,153004044,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.0586169
141037053,141037053,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.14730299
191140073,191140073,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17319113
191139108,191139108,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11472889
191139169,191139169,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12650554
116024038,116024038,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.1873581
141019001,141019001,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.23459253
191151020,191151020,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1171056
191153157,191153157,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1147682
191152029,191152029,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11479025
191151027,191151027,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11712067
191151045,191151045,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1148084
191153145,191153145,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11476254
189010101,189010101,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16652154
129021065,129021065,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.0214459
141030022,141030022,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1810467
115041025,115041025,Oahu,S OF H DLNR,"State of Hawaii, Department of Land & Natural Resources",Govt. State,Public-State,0.50008039
152002024,152002024,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.23153951
174008009,174008009,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,2.61187733
185030050,185030050,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17590486
187042063,187042063,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.13101169
194010057,194010057,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.1207483
156004045,156004045,Oahu,U S FISH AND WILDLIFE SERVICE,"United States of America, Fish & Wildlife Service",Govt. Federal,Public-Federal,0.66218428
115009004,115009004,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.42006552
185033019,185033019,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17152104
141020052,141020052,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.23093267
189009032,189009032,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16430053
197033138,197033138,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,0.03146463
185030055,185030055,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16261912
122003087,122003087,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.04410655
141016076,141016076,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.31792832
136022057,136022057,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.08082057
147006023,147006023,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,11.67954122
141036015,141036015,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.20330173
199078005,199078005,Oahu,S OF H DLNR,"State of Hawaii, Department of Land & Natural Resources",Govt. State,Public-State,0.38388981
127006066,127006066,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.04009717
141031068,141031068,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15070513
131042013,131042013,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,1.88614355
129049003,129049003,Oahu,BOARD OF WATER SUPPLY,"City and County of Honolulu, Board of Water Supply",Govt. County of Honolulu,Public-County,0.52020045
189013041,189013041,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.2236494
185032025,185032025,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.16702857
159011062,159011062,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,1.17689341
189012031,189012031,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.21840085
135019077,135019077,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.55313924
189004011,189004011,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.49961084
187042130,187042130,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12399992
189010046,189010046,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17474519
134028052,134028052,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.12692093
124043025,124043025,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.08923691
187008026,187008026,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,14.19288847
191139019,191139019,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11481132
131030005,131030005,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,1.15909916
191151050,191151050,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11481615
191153166,191153166,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11476672
191153100,191153100,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12051313
191152079,191152079,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11478603
191152024,191152024,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11479589
191153103,191153103,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15302463
185027020,185027020,Oahu,HAWAII HOUSING FINANCE AND DEV. CORP.,"State of Hawaii, Hawaii Housing Finance & Development Corporation",Govt. State,Public-State,0.08534654
